geoName,cataract
Alabama,69
Alaska,99
Arizona,69
Arkansas,71
California,55
Colorado,67
Connecticut,73
Delaware,59
District of Columbia,46
Florida,64
Georgia,45
Hawaii,74
Idaho,69
Illinois,58
Indiana,96
Iowa,57
Kansas,53
Kentucky,67
Louisiana,57
Maine,88
Maryland,63
Massachusetts,62
Michigan,60
Minnesota,60
Mississippi,61
Missouri,61
Montana,100
Nebraska,58
Nevada,60
New Hampshire,69
New Jersey,65
New Mexico,73
New York,50
North Carolina,58
North Dakota,56
Ohio,58
Oklahoma,60
Oregon,41
Pennsylvania,68
Rhode Island,60
South Carolina,72
South Dakota,38
Tennessee,70
Texas,51
Utah,65
Vermont,68
Virginia,42
Washington,62
West Virginia,75
Wisconsin,68
Wyoming,64
