geoName,cataract
Alabama,69
Alaska,86
Arizona,71
Arkansas,69
California,72
Colorado,64
Connecticut,68
Delaware,78
District of Columbia,55
Florida,80
Georgia,52
Hawaii,80
Idaho,77
Illinois,55
Indiana,100
Iowa,67
Kansas,69
Kentucky,71
Louisiana,58
Maine,76
Maryland,59
Massachusetts,62
Michigan,59
Minnesota,68
Mississippi,61
Missouri,67
Montana,83
Nebraska,60
Nevada,52
New Hampshire,85
New Jersey,62
New Mexico,68
New York,79
North Carolina,60
North Dakota,60
Ohio,55
Oklahoma,65
Oregon,62
Pennsylvania,61
Rhode Island,64
South Carolina,67
South Dakota,78
Tennessee,76
Texas,62
Utah,60
Vermont,62
Virginia,58
Washington,68
West Virginia,85
Wisconsin,60
Wyoming,68
