geoName,glaucoma
Alabama,84
Alaska,59
Arizona,82
Arkansas,82
California,84
Colorado,68
Connecticut,87
Delaware,74
District of Columbia,71
Florida,81
Georgia,69
Hawaii,88
Idaho,76
Illinois,74
Indiana,78
Iowa,71
Kansas,67
Kentucky,76
Louisiana,83
Maine,92
Maryland,95
Massachusetts,86
Michigan,75
Minnesota,80
Mississippi,92
Missouri,80
Montana,73
Nebraska,78
Nevada,80
New Hampshire,87
New Jersey,83
New Mexico,75
New York,74
North Carolina,75
North Dakota,66
Ohio,73
Oklahoma,82
Oregon,51
Pennsylvania,86
Rhode Island,90
South Carolina,71
South Dakota,100
Tennessee,81
Texas,69
Utah,64
Vermont,98
Virginia,58
Washington,73
West Virginia,96
Wisconsin,77
Wyoming,54
