geoName,cataract
Alabama,54
Alaska,56
Arizona,51
Arkansas,49
California,50
Colorado,50
Connecticut,49
Delaware,47
District of Columbia,41
Florida,64
Georgia,42
Hawaii,49
Idaho,59
Illinois,42
Indiana,100
Iowa,47
Kansas,45
Kentucky,53
Louisiana,51
Maine,53
Maryland,44
Massachusetts,45
Michigan,42
Minnesota,49
Mississippi,48
Missouri,47
Montana,61
Nebraska,43
Nevada,42
New Hampshire,48
New Jersey,45
New Mexico,50
New York,57
North Carolina,46
North Dakota,40
Ohio,42
Oklahoma,53
Oregon,46
Pennsylvania,45
Rhode Island,38
South Carolina,52
South Dakota,49
Tennessee,61
Texas,47
Utah,45
Vermont,57
Virginia,44
Washington,48
West Virginia,59
Wisconsin,52
Wyoming,42
