geoName,uveitis
Alabama,45
Alaska,0
Arizona,22
Arkansas,33
California,24
Colorado,11
Connecticut,80
Delaware,100
District of Columbia,21
Florida,17
Georgia,28
Hawaii,0
Idaho,82
Illinois,26
Indiana,51
Iowa,52
Kansas,18
Kentucky,17
Louisiana,18
Maine,16
Maryland,23
Massachusetts,31
Michigan,21
Minnesota,45
Mississippi,20
Missouri,36
Montana,62
Nebraska,0
Nevada,22
New Hampshire,86
New Jersey,36
New Mexico,68
New York,32
North Carolina,37
North Dakota,0
Ohio,22
Oklahoma,19
Oregon,24
Pennsylvania,35
Rhode Island,62
South Carolina,44
South Dakota,36
Tennessee,64
Texas,26
Utah,17
Vermont,26
Virginia,18
Washington,18
West Virginia,32
Wisconsin,37
Wyoming,0
