geoName,diabetic retinopathy
Alabama,69
Alaska,0
Arizona,51
Arkansas,70
California,69
Colorado,40
Connecticut,46
Delaware,0
District of Columbia,0
Florida,71
Georgia,57
Hawaii,0
Idaho,0
Illinois,63
Indiana,77
Iowa,77
Kansas,100
Kentucky,92
Louisiana,51
Maine,0
Maryland,69
Massachusetts,50
Michigan,61
Minnesota,91
Mississippi,45
Missouri,40
Montana,0
Nebraska,67
Nevada,60
New Hampshire,57
New Jersey,69
New Mexico,61
New York,84
North Carolina,75
North Dakota,0
Ohio,60
Oklahoma,85
Oregon,67
Pennsylvania,67
Rhode Island,41
South Carolina,47
South Dakota,0
Tennessee,65
Texas,67
Utah,48
Vermont,0
Virginia,67
Washington,56
West Virginia,70
Wisconsin,55
Wyoming,0
