geoName,uveitis
Alabama,60
Alaska,0
Arizona,48
Arkansas,36
California,46
Colorado,40
Connecticut,55
Delaware,35
District of Columbia,33
Florida,42
Georgia,41
Hawaii,30
Idaho,38
Illinois,48
Indiana,63
Iowa,76
Kansas,36
Kentucky,55
Louisiana,56
Maine,100
Maryland,72
Massachusetts,82
Michigan,50
Minnesota,46
Mississippi,58
Missouri,56
Montana,44
Nebraska,49
Nevada,41
New Hampshire,73
New Jersey,55
New Mexico,52
New York,57
North Carolina,62
North Dakota,0
Ohio,50
Oklahoma,36
Oregon,77
Pennsylvania,67
Rhode Island,76
South Carolina,48
South Dakota,23
Tennessee,55
Texas,37
Utah,43
Vermont,60
Virginia,49
Washington,43
West Virginia,43
Wisconsin,54
Wyoming,0
