geoName,macular degeneration
Alabama,66
Alaska,37
Arizona,71
Arkansas,70
California,45
Colorado,50
Connecticut,66
Delaware,61
District of Columbia,36
Florida,57
Georgia,44
Hawaii,48
Idaho,64
Illinois,47
Indiana,66
Iowa,72
Kansas,52
Kentucky,66
Louisiana,42
Maine,78
Maryland,67
Massachusetts,61
Michigan,55
Minnesota,66
Mississippi,49
Missouri,51
Montana,79
Nebraska,69
Nevada,47
New Hampshire,52
New Jersey,55
New Mexico,71
New York,45
North Carolina,53
North Dakota,55
Ohio,60
Oklahoma,52
Oregon,47
Pennsylvania,63
Rhode Island,49
South Carolina,60
South Dakota,100
Tennessee,56
Texas,39
Utah,64
Vermont,80
Virginia,52
Washington,58
West Virginia,83
Wisconsin,59
Wyoming,81
