geoName,macular degeneration
Alabama,58
Alaska,42
Arizona,72
Arkansas,59
California,45
Colorado,53
Connecticut,62
Delaware,49
District of Columbia,40
Florida,59
Georgia,49
Hawaii,58
Idaho,81
Illinois,52
Indiana,69
Iowa,74
Kansas,57
Kentucky,64
Louisiana,54
Maine,100
Maryland,61
Massachusetts,58
Michigan,62
Minnesota,65
Mississippi,72
Missouri,59
Montana,62
Nebraska,55
Nevada,61
New Hampshire,78
New Jersey,57
New Mexico,77
New York,44
North Carolina,49
North Dakota,60
Ohio,59
Oklahoma,51
Oregon,45
Pennsylvania,65
Rhode Island,78
South Carolina,56
South Dakota,74
Tennessee,56
Texas,36
Utah,56
Vermont,90
Virginia,31
Washington,48
West Virginia,73
Wisconsin,63
Wyoming,57
