geoName,glaucoma
Alabama,74
Alaska,91
Arizona,89
Arkansas,84
California,93
Colorado,62
Connecticut,90
Delaware,85
District of Columbia,77
Florida,92
Georgia,72
Hawaii,89
Idaho,63
Illinois,71
Indiana,78
Iowa,69
Kansas,75
Kentucky,76
Louisiana,80
Maine,97
Maryland,88
Massachusetts,83
Michigan,79
Minnesota,75
Mississippi,77
Missouri,76
Montana,62
Nebraska,61
Nevada,75
New Hampshire,87
New Jersey,82
New Mexico,69
New York,100
North Carolina,70
North Dakota,75
Ohio,69
Oklahoma,85
Oregon,73
Pennsylvania,82
Rhode Island,88
South Carolina,72
South Dakota,69
Tennessee,71
Texas,91
Utah,60
Vermont,73
Virginia,77
Washington,75
West Virginia,79
Wisconsin,71
Wyoming,61
