geoName,macular degeneration
Alabama,54
Alaska,49
Arizona,50
Arkansas,86
California,42
Colorado,63
Connecticut,61
Delaware,74
District of Columbia,55
Florida,59
Georgia,52
Hawaii,46
Idaho,35
Illinois,59
Indiana,54
Iowa,53
Kansas,50
Kentucky,62
Louisiana,40
Maine,48
Maryland,60
Massachusetts,63
Michigan,57
Minnesota,58
Mississippi,39
Missouri,60
Montana,100
Nebraska,35
Nevada,53
New Hampshire,56
New Jersey,48
New Mexico,52
New York,46
North Carolina,51
North Dakota,92
Ohio,63
Oklahoma,29
Oregon,52
Pennsylvania,63
Rhode Island,26
South Carolina,51
South Dakota,71
Tennessee,59
Texas,47
Utah,35
Vermont,39
Virginia,34
Washington,55
West Virginia,80
Wisconsin,56
Wyoming,60
