geoName,glaucoma
Alabama,49
Alaska,26
Arizona,42
Arkansas,40
California,41
Colorado,37
Connecticut,49
Delaware,100
District of Columbia,39
Florida,44
Georgia,45
Hawaii,48
Idaho,54
Illinois,47
Indiana,40
Iowa,35
Kansas,30
Kentucky,47
Louisiana,35
Maine,43
Maryland,53
Massachusetts,42
Michigan,47
Minnesota,39
Mississippi,48
Missouri,50
Montana,47
Nebraska,46
Nevada,52
New Hampshire,43
New Jersey,41
New Mexico,70
New York,44
North Carolina,53
North Dakota,33
Ohio,46
Oklahoma,50
Oregon,47
Pennsylvania,60
Rhode Island,46
South Carolina,44
South Dakota,27
Tennessee,67
Texas,49
Utah,36
Vermont,49
Virginia,41
Washington,50
West Virginia,30
Wisconsin,46
Wyoming,56
