geoName,cataract
Alabama,69
Alaska,78
Arizona,60
Arkansas,62
California,51
Colorado,65
Connecticut,52
Delaware,60
District of Columbia,65
Florida,69
Georgia,53
Hawaii,50
Idaho,76
Illinois,55
Indiana,73
Iowa,66
Kansas,47
Kentucky,62
Louisiana,50
Maine,79
Maryland,68
Massachusetts,55
Michigan,52
Minnesota,58
Mississippi,59
Missouri,53
Montana,47
Nebraska,32
Nevada,43
New Hampshire,40
New Jersey,54
New Mexico,75
New York,51
North Carolina,64
North Dakota,99
Ohio,55
Oklahoma,46
Oregon,66
Pennsylvania,63
Rhode Island,29
South Carolina,53
South Dakota,35
Tennessee,66
Texas,57
Utah,67
Vermont,83
Virginia,47
Washington,66
West Virginia,100
Wisconsin,64
Wyoming,74
