geoName,glaucoma
Alabama,84
Alaska,88
Arizona,87
Arkansas,77
California,75
Colorado,65
Connecticut,84
Delaware,55
District of Columbia,83
Florida,87
Georgia,79
Hawaii,90
Idaho,66
Illinois,86
Indiana,80
Iowa,73
Kansas,86
Kentucky,76
Louisiana,86
Maine,86
Maryland,96
Massachusetts,85
Michigan,77
Minnesota,68
Mississippi,93
Missouri,81
Montana,73
Nebraska,74
Nevada,85
New Hampshire,65
New Jersey,95
New Mexico,84
New York,81
North Carolina,76
North Dakota,86
Ohio,73
Oklahoma,69
Oregon,79
Pennsylvania,84
Rhode Island,74
South Carolina,84
South Dakota,72
Tennessee,87
Texas,78
Utah,70
Vermont,50
Virginia,83
Washington,81
West Virginia,100
Wisconsin,76
Wyoming,83
