geoName,glaucoma
Alabama,84
Alaska,55
Arizona,80
Arkansas,79
California,88
Colorado,61
Connecticut,88
Delaware,100
District of Columbia,70
Florida,77
Georgia,74
Hawaii,79
Idaho,74
Illinois,71
Indiana,68
Iowa,65
Kansas,71
Kentucky,76
Louisiana,86
Maine,73
Maryland,83
Massachusetts,81
Michigan,80
Minnesota,75
Mississippi,73
Missouri,68
Montana,67
Nebraska,73
Nevada,72
New Hampshire,87
New Jersey,78
New Mexico,68
New York,77
North Carolina,72
North Dakota,60
Ohio,72
Oklahoma,70
Oregon,66
Pennsylvania,84
Rhode Island,79
South Carolina,70
South Dakota,67
Tennessee,69
Texas,72
Utah,58
Vermont,67
Virginia,71
Washington,73
West Virginia,74
Wisconsin,65
Wyoming,66
