geoName,macular degeneration
Alabama,49
Alaska,100
Arizona,59
Arkansas,17
California,45
Colorado,61
Connecticut,52
Delaware,15
District of Columbia,50
Florida,48
Georgia,46
Hawaii,93
Idaho,50
Illinois,59
Indiana,55
Iowa,50
Kansas,56
Kentucky,63
Louisiana,26
Maine,61
Maryland,59
Massachusetts,58
Michigan,67
Minnesota,47
Mississippi,64
Missouri,62
Montana,15
Nebraska,66
Nevada,57
New Hampshire,20
New Jersey,42
New Mexico,90
New York,51
North Carolina,72
North Dakota,100
Ohio,47
Oklahoma,50
Oregon,50
Pennsylvania,53
Rhode Island,35
South Carolina,29
South Dakota,53
Tennessee,56
Texas,50
Utah,33
Vermont,33
Virginia,60
Washington,37
West Virginia,39
Wisconsin,74
Wyoming,0
