geoName,glaucoma
Alabama,76
Alaska,67
Arizona,82
Arkansas,78
California,80
Colorado,57
Connecticut,90
Delaware,75
District of Columbia,71
Florida,76
Georgia,71
Hawaii,82
Idaho,55
Illinois,68
Indiana,79
Iowa,81
Kansas,62
Kentucky,76
Louisiana,85
Maine,88
Maryland,88
Massachusetts,76
Michigan,69
Minnesota,70
Mississippi,75
Missouri,79
Montana,70
Nebraska,67
Nevada,73
New Hampshire,100
New Jersey,85
New Mexico,79
New York,71
North Carolina,74
North Dakota,58
Ohio,81
Oklahoma,83
Oregon,60
Pennsylvania,87
Rhode Island,84
South Carolina,66
South Dakota,62
Tennessee,84
Texas,65
Utah,53
Vermont,86
Virginia,50
Washington,68
West Virginia,87
Wisconsin,70
Wyoming,63
