geoName,cataract
Alabama,80
Alaska,70
Arizona,75
Arkansas,80
California,62
Colorado,76
Connecticut,75
Delaware,83
District of Columbia,51
Florida,74
Georgia,56
Hawaii,85
Idaho,68
Illinois,60
Indiana,100
Iowa,61
Kansas,60
Kentucky,67
Louisiana,64
Maine,89
Maryland,64
Massachusetts,67
Michigan,66
Minnesota,73
Mississippi,66
Missouri,68
Montana,93
Nebraska,75
Nevada,60
New Hampshire,73
New Jersey,72
New Mexico,80
New York,59
North Carolina,72
North Dakota,79
Ohio,66
Oklahoma,75
Oregon,55
Pennsylvania,71
Rhode Island,65
South Carolina,82
South Dakota,79
Tennessee,74
Texas,56
Utah,67
Vermont,56
Virginia,66
Washington,74
West Virginia,76
Wisconsin,68
Wyoming,83
