geoName,macular degeneration
Alabama,60
Alaska,71
Arizona,80
Arkansas,61
California,48
Colorado,60
Connecticut,58
Delaware,65
District of Columbia,45
Florida,55
Georgia,47
Hawaii,64
Idaho,51
Illinois,52
Indiana,67
Iowa,67
Kansas,59
Kentucky,57
Louisiana,49
Maine,67
Maryland,66
Massachusetts,55
Michigan,56
Minnesota,58
Mississippi,50
Missouri,56
Montana,87
Nebraska,59
Nevada,57
New Hampshire,71
New Jersey,56
New Mexico,77
New York,47
North Carolina,55
North Dakota,100
Ohio,58
Oklahoma,57
Oregon,79
Pennsylvania,67
Rhode Island,43
South Carolina,66
South Dakota,93
Tennessee,57
Texas,45
Utah,61
Vermont,74
Virginia,59
Washington,57
West Virginia,85
Wisconsin,61
Wyoming,72
