geoName,uveitis
Alabama,55
Alaska,0
Arizona,62
Arkansas,70
California,49
Colorado,55
Connecticut,68
Delaware,97
District of Columbia,69
Florida,56
Georgia,46
Hawaii,40
Idaho,75
Illinois,63
Indiana,59
Iowa,65
Kansas,49
Kentucky,66
Louisiana,79
Maine,84
Maryland,67
Massachusetts,73
Michigan,61
Minnesota,56
Mississippi,78
Missouri,63
Montana,65
Nebraska,100
Nevada,40
New Hampshire,78
New Jersey,62
New Mexico,56
New York,61
North Carolina,68
North Dakota,0
Ohio,59
Oklahoma,63
Oregon,63
Pennsylvania,80
Rhode Island,94
South Carolina,66
South Dakota,31
Tennessee,72
Texas,49
Utah,54
Vermont,47
Virginia,64
Washington,49
West Virginia,100
Wisconsin,66
Wyoming,0
