geoName,diabetic retinopathy
Alabama,54
Alaska,0
Arizona,59
Arkansas,60
California,70
Colorado,47
Connecticut,91
Delaware,0
District of Columbia,0
Florida,71
Georgia,48
Hawaii,0
Idaho,0
Illinois,62
Indiana,96
Iowa,57
Kansas,62
Kentucky,89
Louisiana,100
Maine,0
Maryland,82
Massachusetts,94
Michigan,78
Minnesota,78
Mississippi,56
Missouri,88
Montana,0
Nebraska,78
Nevada,63
New Hampshire,38
New Jersey,70
New Mexico,94
New York,73
North Carolina,75
North Dakota,0
Ohio,68
Oklahoma,96
Oregon,84
Pennsylvania,82
Rhode Island,45
South Carolina,50
South Dakota,0
Tennessee,75
Texas,65
Utah,50
Vermont,0
Virginia,66
Washington,55
West Virginia,100
Wisconsin,64
Wyoming,0
