geoName,glaucoma
Alabama,87
Alaska,72
Arizona,88
Arkansas,85
California,90
Colorado,63
Connecticut,94
Delaware,85
District of Columbia,77
Florida,77
Georgia,76
Hawaii,73
Idaho,77
Illinois,73
Indiana,77
Iowa,68
Kansas,69
Kentucky,73
Louisiana,78
Maine,73
Maryland,86
Massachusetts,85
Michigan,77
Minnesota,78
Mississippi,89
Missouri,76
Montana,82
Nebraska,77
Nevada,82
New Hampshire,68
New Jersey,78
New Mexico,69
New York,74
North Carolina,73
North Dakota,65
Ohio,75
Oklahoma,88
Oregon,67
Pennsylvania,87
Rhode Island,81
South Carolina,79
South Dakota,82
Tennessee,89
Texas,70
Utah,58
Vermont,79
Virginia,79
Washington,75
West Virginia,100
Wisconsin,81
Wyoming,64
