geoName,uveitis
Alabama,64
Alaska,0
Arizona,42
Arkansas,37
California,47
Colorado,68
Connecticut,53
Delaware,51
District of Columbia,30
Florida,45
Georgia,57
Hawaii,48
Idaho,55
Illinois,51
Indiana,38
Iowa,40
Kansas,71
Kentucky,65
Louisiana,60
Maine,80
Maryland,53
Massachusetts,58
Michigan,54
Minnesota,46
Mississippi,49
Missouri,51
Montana,73
Nebraska,48
Nevada,37
New Hampshire,90
New Jersey,56
New Mexico,76
New York,53
North Carolina,49
North Dakota,0
Ohio,51
Oklahoma,49
Oregon,72
Pennsylvania,67
Rhode Island,60
South Carolina,51
South Dakota,100
Tennessee,49
Texas,43
Utah,54
Vermont,62
Virginia,60
Washington,60
West Virginia,51
Wisconsin,72
Wyoming,0
