geoName,macular degeneration
Alabama,79
Alaska,96
Arizona,78
Arkansas,67
California,56
Colorado,64
Connecticut,81
Delaware,71
District of Columbia,62
Florida,74
Georgia,60
Hawaii,66
Idaho,88
Illinois,69
Indiana,78
Iowa,75
Kansas,64
Kentucky,83
Louisiana,61
Maine,93
Maryland,70
Massachusetts,82
Michigan,79
Minnesota,91
Mississippi,58
Missouri,77
Montana,90
Nebraska,85
Nevada,68
New Hampshire,92
New Jersey,75
New Mexico,99
New York,73
North Carolina,70
North Dakota,72
Ohio,77
Oklahoma,69
Oregon,81
Pennsylvania,84
Rhode Island,58
South Carolina,76
South Dakota,98
Tennessee,81
Texas,57
Utah,60
Vermont,100
Virginia,72
Washington,65
West Virginia,89
Wisconsin,80
Wyoming,97
