geoName,macular degeneration
Alabama,53
Alaska,39
Arizona,67
Arkansas,67
California,36
Colorado,42
Connecticut,60
Delaware,54
District of Columbia,38
Florida,71
Georgia,48
Hawaii,40
Idaho,44
Illinois,68
Indiana,78
Iowa,73
Kansas,83
Kentucky,81
Louisiana,67
Maine,90
Maryland,60
Massachusetts,60
Michigan,58
Minnesota,73
Mississippi,39
Missouri,74
Montana,100
Nebraska,77
Nevada,38
New Hampshire,81
New Jersey,56
New Mexico,93
New York,52
North Carolina,58
North Dakota,70
Ohio,61
Oklahoma,55
Oregon,65
Pennsylvania,78
Rhode Island,56
South Carolina,55
South Dakota,85
Tennessee,73
Texas,55
Utah,53
Vermont,48
Virginia,27
Washington,56
West Virginia,56
Wisconsin,76
Wyoming,53
