geoName,macular degeneration
Alabama,52
Alaska,60
Arizona,63
Arkansas,79
California,51
Colorado,58
Connecticut,67
Delaware,62
District of Columbia,55
Florida,65
Georgia,48
Hawaii,62
Idaho,70
Illinois,53
Indiana,77
Iowa,80
Kansas,52
Kentucky,63
Louisiana,57
Maine,80
Maryland,61
Massachusetts,59
Michigan,64
Minnesota,69
Mississippi,49
Missouri,76
Montana,83
Nebraska,77
Nevada,62
New Hampshire,77
New Jersey,59
New Mexico,83
New York,46
North Carolina,67
North Dakota,94
Ohio,65
Oklahoma,74
Oregon,49
Pennsylvania,71
Rhode Island,72
South Carolina,72
South Dakota,84
Tennessee,65
Texas,46
Utah,61
Vermont,80
Virginia,57
Washington,56
West Virginia,78
Wisconsin,64
Wyoming,100
