geoName,glaucoma
Alabama,82
Alaska,100
Arizona,88
Arkansas,73
California,87
Colorado,64
Connecticut,86
Delaware,61
District of Columbia,78
Florida,79
Georgia,61
Hawaii,93
Idaho,85
Illinois,71
Indiana,78
Iowa,78
Kansas,75
Kentucky,75
Louisiana,63
Maine,70
Maryland,83
Massachusetts,78
Michigan,73
Minnesota,70
Mississippi,91
Missouri,72
Montana,66
Nebraska,85
Nevada,71
New Hampshire,91
New Jersey,81
New Mexico,66
New York,71
North Carolina,70
North Dakota,64
Ohio,75
Oklahoma,77
Oregon,72
Pennsylvania,89
Rhode Island,70
South Carolina,77
South Dakota,89
Tennessee,79
Texas,66
Utah,54
Vermont,95
Virginia,76
Washington,71
West Virginia,91
Wisconsin,68
Wyoming,66
