geoName,macular degeneration
Alabama,79
Alaska,70
Arizona,82
Arkansas,85
California,55
Colorado,67
Connecticut,85
Delaware,82
District of Columbia,72
Florida,71
Georgia,57
Hawaii,64
Idaho,93
Illinois,65
Indiana,75
Iowa,65
Kansas,75
Kentucky,73
Louisiana,52
Maine,99
Maryland,61
Massachusetts,73
Michigan,70
Minnesota,78
Mississippi,51
Missouri,66
Montana,59
Nebraska,79
Nevada,61
New Hampshire,65
New Jersey,67
New Mexico,70
New York,77
North Carolina,65
North Dakota,72
Ohio,67
Oklahoma,63
Oregon,76
Pennsylvania,74
Rhode Island,56
South Carolina,65
South Dakota,93
Tennessee,69
Texas,56
Utah,54
Vermont,67
Virginia,72
Washington,69
West Virginia,77
Wisconsin,74
Wyoming,100
