geoName,diabetic retinopathy
Alabama,44
Alaska,0
Arizona,69
Arkansas,76
California,59
Colorado,39
Connecticut,60
Delaware,0
District of Columbia,0
Florida,58
Georgia,48
Hawaii,0
Idaho,0
Illinois,56
Indiana,76
Iowa,46
Kansas,67
Kentucky,87
Louisiana,41
Maine,0
Maryland,54
Massachusetts,68
Michigan,63
Minnesota,100
Mississippi,48
Missouri,64
Montana,0
Nebraska,44
Nevada,63
New Hampshire,57
New Jersey,45
New Mexico,46
New York,61
North Carolina,61
North Dakota,0
Ohio,55
Oklahoma,48
Oregon,54
Pennsylvania,66
Rhode Island,64
South Carolina,64
South Dakota,0
Tennessee,70
Texas,60
Utah,42
Vermont,0
Virginia,67
Washington,55
West Virginia,66
Wisconsin,68
Wyoming,0
