geoName,cataract
Alabama,67
Alaska,73
Arizona,75
Arkansas,70
California,50
Colorado,69
Connecticut,67
Delaware,43
District of Columbia,41
Florida,72
Georgia,45
Hawaii,73
Idaho,90
Illinois,56
Indiana,100
Iowa,63
Kansas,68
Kentucky,65
Louisiana,57
Maine,67
Maryland,64
Massachusetts,60
Michigan,62
Minnesota,67
Mississippi,59
Missouri,65
Montana,85
Nebraska,65
Nevada,67
New Hampshire,72
New Jersey,63
New Mexico,80
New York,56
North Carolina,63
North Dakota,91
Ohio,57
Oklahoma,55
Oregon,76
Pennsylvania,66
Rhode Island,61
South Carolina,72
South Dakota,59
Tennessee,74
Texas,52
Utah,62
Vermont,69
Virginia,66
Washington,70
West Virginia,59
Wisconsin,60
Wyoming,79
