geoName,diabetic retinopathy
Alabama,47
Alaska,0
Arizona,63
Arkansas,96
California,56
Colorado,42
Connecticut,57
Delaware,0
District of Columbia,0
Florida,64
Georgia,39
Hawaii,0
Idaho,0
Illinois,65
Indiana,74
Iowa,37
Kansas,82
Kentucky,82
Louisiana,68
Maine,0
Maryland,100
Massachusetts,72
Michigan,90
Minnesota,61
Mississippi,58
Missouri,67
Montana,0
Nebraska,57
Nevada,68
New Hampshire,26
New Jersey,62
New Mexico,68
New York,60
North Carolina,60
North Dakota,0
Ohio,66
Oklahoma,36
Oregon,45
Pennsylvania,62
Rhode Island,33
South Carolina,32
South Dakota,0
Tennessee,87
Texas,60
Utah,32
Vermont,0
Virginia,42
Washington,57
West Virginia,78
Wisconsin,52
Wyoming,0
