geoName,uveitis
Alabama,52
Alaska,0
Arizona,54
Arkansas,64
California,44
Colorado,44
Connecticut,68
Delaware,54
District of Columbia,77
Florida,52
Georgia,41
Hawaii,51
Idaho,78
Illinois,56
Indiana,63
Iowa,50
Kansas,50
Kentucky,61
Louisiana,65
Maine,83
Maryland,63
Massachusetts,70
Michigan,61
Minnesota,60
Mississippi,54
Missouri,51
Montana,71
Nebraska,58
Nevada,39
New Hampshire,58
New Jersey,52
New Mexico,44
New York,55
North Carolina,47
North Dakota,0
Ohio,49
Oklahoma,42
Oregon,50
Pennsylvania,73
Rhode Island,57
South Carolina,43
South Dakota,82
Tennessee,62
Texas,47
Utah,39
Vermont,54
Virginia,58
Washington,46
West Virginia,100
Wisconsin,59
Wyoming,0
