geoName,uveitis
Alabama,56
Alaska,0
Arizona,54
Arkansas,91
California,46
Colorado,50
Connecticut,86
Delaware,80
District of Columbia,60
Florida,47
Georgia,43
Hawaii,36
Idaho,59
Illinois,60
Indiana,54
Iowa,35
Kansas,47
Kentucky,56
Louisiana,59
Maine,58
Maryland,93
Massachusetts,66
Michigan,64
Minnesota,49
Mississippi,47
Missouri,48
Montana,67
Nebraska,72
Nevada,32
New Hampshire,71
New Jersey,58
New Mexico,36
New York,56
North Carolina,52
North Dakota,0
Ohio,50
Oklahoma,45
Oregon,38
Pennsylvania,73
Rhode Island,58
South Carolina,43
South Dakota,32
Tennessee,62
Texas,43
Utah,33
Vermont,100
Virginia,40
Washington,48
West Virginia,56
Wisconsin,57
Wyoming,0
