geoName,uveitis
Alabama,0
Alaska,0
Arizona,25
Arkansas,81
California,34
Colorado,0
Connecticut,50
Delaware,0
District of Columbia,67
Florida,38
Georgia,37
Hawaii,0
Idaho,0
Illinois,37
Indiana,25
Iowa,44
Kansas,19
Kentucky,83
Louisiana,63
Maine,74
Maryland,24
Massachusetts,68
Michigan,29
Minnesota,25
Mississippi,0
Missouri,71
Montana,0
Nebraska,29
Nevada,27
New Hampshire,64
New Jersey,60
New Mexico,79
New York,50
North Carolina,60
North Dakota,0
Ohio,35
Oklahoma,22
Oregon,55
Pennsylvania,41
Rhode Island,34
South Carolina,100
South Dakota,85
Tennessee,83
Texas,34
Utah,20
Vermont,0
Virginia,50
Washington,42
West Virginia,63
Wisconsin,52
Wyoming,0
