geoName,macular degeneration
Alabama,56
Alaska,99
Arizona,67
Arkansas,34
California,48
Colorado,40
Connecticut,57
Delaware,41
District of Columbia,55
Florida,47
Georgia,52
Hawaii,39
Idaho,80
Illinois,41
Indiana,30
Iowa,60
Kansas,77
Kentucky,60
Louisiana,68
Maine,39
Maryland,56
Massachusetts,55
Michigan,49
Minnesota,54
Mississippi,85
Missouri,73
Montana,43
Nebraska,31
Nevada,35
New Hampshire,27
New Jersey,55
New Mexico,83
New York,39
North Carolina,56
North Dakota,0
Ohio,55
Oklahoma,100
Oregon,48
Pennsylvania,57
Rhode Island,70
South Carolina,57
South Dakota,75
Tennessee,47
Texas,36
Utah,59
Vermont,31
Virginia,52
Washington,46
West Virginia,53
Wisconsin,36
Wyoming,0
