geoName,macular degeneration
Alabama,62
Alaska,71
Arizona,70
Arkansas,69
California,48
Colorado,66
Connecticut,78
Delaware,59
District of Columbia,40
Florida,65
Georgia,48
Hawaii,61
Idaho,65
Illinois,61
Indiana,62
Iowa,64
Kansas,75
Kentucky,67
Louisiana,50
Maine,83
Maryland,67
Massachusetts,62
Michigan,63
Minnesota,80
Mississippi,65
Missouri,62
Montana,69
Nebraska,69
Nevada,55
New Hampshire,74
New Jersey,59
New Mexico,86
New York,70
North Carolina,59
North Dakota,97
Ohio,64
Oklahoma,66
Oregon,60
Pennsylvania,68
Rhode Island,69
South Carolina,62
South Dakota,64
Tennessee,59
Texas,51
Utah,63
Vermont,100
Virginia,63
Washington,61
West Virginia,97
Wisconsin,74
Wyoming,61
