geoName,glaucoma
Alabama,76
Alaska,74
Arizona,84
Arkansas,79
California,96
Colorado,62
Connecticut,83
Delaware,84
District of Columbia,76
Florida,100
Georgia,69
Hawaii,85
Idaho,62
Illinois,76
Indiana,71
Iowa,60
Kansas,77
Kentucky,80
Louisiana,79
Maine,86
Maryland,91
Massachusetts,82
Michigan,78
Minnesota,84
Mississippi,72
Missouri,73
Montana,73
Nebraska,72
Nevada,66
New Hampshire,78
New Jersey,85
New Mexico,72
New York,90
North Carolina,71
North Dakota,72
Ohio,69
Oklahoma,76
Oregon,69
Pennsylvania,83
Rhode Island,83
South Carolina,70
South Dakota,90
Tennessee,77
Texas,88
Utah,61
Vermont,70
Virginia,81
Washington,73
West Virginia,94
Wisconsin,65
Wyoming,47
