geoName,glaucoma
Alabama,86
Alaska,69
Arizona,87
Arkansas,93
California,72
Colorado,65
Connecticut,77
Delaware,100
District of Columbia,56
Florida,80
Georgia,61
Hawaii,94
Idaho,57
Illinois,79
Indiana,68
Iowa,79
Kansas,76
Kentucky,75
Louisiana,72
Maine,85
Maryland,81
Massachusetts,81
Michigan,70
Minnesota,71
Mississippi,78
Missouri,78
Montana,57
Nebraska,63
Nevada,71
New Hampshire,91
New Jersey,80
New Mexico,65
New York,69
North Carolina,72
North Dakota,79
Ohio,77
Oklahoma,80
Oregon,69
Pennsylvania,85
Rhode Island,57
South Carolina,83
South Dakota,84
Tennessee,77
Texas,68
Utah,68
Vermont,80
Virginia,74
Washington,68
West Virginia,78
Wisconsin,67
Wyoming,54
