geoName,diabetic retinopathy
Alabama,64
Alaska,0
Arizona,46
Arkansas,89
California,53
Colorado,29
Connecticut,72
Delaware,0
District of Columbia,0
Florida,44
Georgia,60
Hawaii,0
Idaho,0
Illinois,43
Indiana,82
Iowa,79
Kansas,32
Kentucky,100
Louisiana,54
Maine,0
Maryland,62
Massachusetts,42
Michigan,54
Minnesota,49
Mississippi,21
Missouri,75
Montana,0
Nebraska,44
Nevada,61
New Hampshire,33
New Jersey,53
New Mexico,35
New York,44
North Carolina,42
North Dakota,0
Ohio,69
Oklahoma,49
Oregon,55
Pennsylvania,56
Rhode Island,83
South Carolina,68
South Dakota,0
Tennessee,87
Texas,51
Utah,42
Vermont,0
Virginia,41
Washington,28
West Virginia,58
Wisconsin,59
Wyoming,0
