geoName,glaucoma
Alabama,84
Alaska,43
Arizona,68
Arkansas,81
California,67
Colorado,61
Connecticut,90
Delaware,79
District of Columbia,76
Florida,80
Georgia,67
Hawaii,64
Idaho,54
Illinois,76
Indiana,79
Iowa,83
Kansas,68
Kentucky,70
Louisiana,67
Maine,81
Maryland,84
Massachusetts,77
Michigan,82
Minnesota,70
Mississippi,59
Missouri,80
Montana,29
Nebraska,100
Nevada,59
New Hampshire,100
New Jersey,65
New Mexico,81
New York,73
North Carolina,70
North Dakota,84
Ohio,78
Oklahoma,82
Oregon,81
Pennsylvania,70
Rhode Island,69
South Carolina,64
South Dakota,74
Tennessee,66
Texas,70
Utah,40
Vermont,48
Virginia,68
Washington,68
West Virginia,73
Wisconsin,76
Wyoming,74
