geoName,glaucoma
Alabama,37
Alaska,22
Arizona,37
Arkansas,76
California,52
Colorado,46
Connecticut,62
Delaware,41
District of Columbia,50
Florida,52
Georgia,50
Hawaii,79
Idaho,18
Illinois,54
Indiana,53
Iowa,84
Kansas,48
Kentucky,55
Louisiana,80
Maine,72
Maryland,61
Massachusetts,63
Michigan,56
Minnesota,33
Mississippi,38
Missouri,61
Montana,43
Nebraska,89
Nevada,29
New Hampshire,49
New Jersey,61
New Mexico,39
New York,54
North Carolina,55
North Dakota,91
Ohio,49
Oklahoma,63
Oregon,54
Pennsylvania,59
Rhode Island,67
South Carolina,83
South Dakota,100
Tennessee,61
Texas,53
Utah,35
Vermont,94
Virginia,39
Washington,43
West Virginia,35
Wisconsin,51
Wyoming,42
