geoName,macular degeneration
Alabama,58
Alaska,82
Arizona,54
Arkansas,84
California,48
Colorado,88
Connecticut,49
Delaware,78
District of Columbia,49
Florida,63
Georgia,46
Hawaii,75
Idaho,71
Illinois,57
Indiana,66
Iowa,89
Kansas,72
Kentucky,49
Louisiana,57
Maine,74
Maryland,64
Massachusetts,65
Michigan,59
Minnesota,61
Mississippi,39
Missouri,72
Montana,60
Nebraska,84
Nevada,52
New Hampshire,71
New Jersey,54
New Mexico,29
New York,54
North Carolina,64
North Dakota,82
Ohio,55
Oklahoma,64
Oregon,53
Pennsylvania,69
Rhode Island,59
South Carolina,64
South Dakota,74
Tennessee,59
Texas,52
Utah,62
Vermont,100
Virginia,55
Washington,67
West Virginia,50
Wisconsin,67
Wyoming,48
