geoName,cataract
Alabama,64
Alaska,72
Arizona,60
Arkansas,56
California,44
Colorado,69
Connecticut,44
Delaware,68
District of Columbia,40
Florida,60
Georgia,39
Hawaii,36
Idaho,60
Illinois,47
Indiana,71
Iowa,59
Kansas,49
Kentucky,59
Louisiana,39
Maine,63
Maryland,53
Massachusetts,47
Michigan,52
Minnesota,60
Mississippi,54
Missouri,56
Montana,100
Nebraska,52
Nevada,48
New Hampshire,56
New Jersey,50
New Mexico,61
New York,46
North Carolina,50
North Dakota,50
Ohio,52
Oklahoma,55
Oregon,54
Pennsylvania,58
Rhode Island,36
South Carolina,64
South Dakota,75
Tennessee,62
Texas,43
Utah,74
Vermont,60
Virginia,46
Washington,60
West Virginia,54
Wisconsin,56
Wyoming,74
