geoName,cataract
Alabama,85
Alaska,88
Arizona,76
Arkansas,69
California,63
Colorado,66
Connecticut,69
Delaware,79
District of Columbia,47
Florida,67
Georgia,50
Hawaii,65
Idaho,60
Illinois,58
Indiana,100
Iowa,59
Kansas,48
Kentucky,73
Louisiana,63
Maine,86
Maryland,68
Massachusetts,64
Michigan,60
Minnesota,68
Mississippi,75
Missouri,62
Montana,86
Nebraska,55
Nevada,64
New Hampshire,71
New Jersey,67
New Mexico,84
New York,52
North Carolina,62
North Dakota,69
Ohio,63
Oklahoma,60
Oregon,54
Pennsylvania,72
Rhode Island,57
South Carolina,75
South Dakota,65
Tennessee,69
Texas,48
Utah,65
Vermont,87
Virginia,39
Washington,72
West Virginia,81
Wisconsin,72
Wyoming,45
