geoName,uveitis
Alabama,56
Alaska,0
Arizona,50
Arkansas,44
California,42
Colorado,50
Connecticut,50
Delaware,28
District of Columbia,40
Florida,49
Georgia,39
Hawaii,37
Idaho,38
Illinois,53
Indiana,58
Iowa,41
Kansas,44
Kentucky,45
Louisiana,57
Maine,100
Maryland,68
Massachusetts,76
Michigan,54
Minnesota,56
Mississippi,45
Missouri,58
Montana,40
Nebraska,29
Nevada,32
New Hampshire,49
New Jersey,51
New Mexico,43
New York,59
North Carolina,50
North Dakota,0
Ohio,48
Oklahoma,34
Oregon,54
Pennsylvania,62
Rhode Island,75
South Carolina,34
South Dakota,36
Tennessee,49
Texas,41
Utah,43
Vermont,73
Virginia,51
Washington,50
West Virginia,50
Wisconsin,44
Wyoming,0
