geoName,diabetic retinopathy
Alabama,55
Alaska,0
Arizona,58
Arkansas,80
California,64
Colorado,45
Connecticut,69
Delaware,0
District of Columbia,0
Florida,63
Georgia,55
Hawaii,0
Idaho,0
Illinois,67
Indiana,69
Iowa,63
Kansas,61
Kentucky,70
Louisiana,64
Maine,0
Maryland,62
Massachusetts,49
Michigan,73
Minnesota,90
Mississippi,66
Missouri,67
Montana,0
Nebraska,80
Nevada,65
New Hampshire,53
New Jersey,54
New Mexico,78
New York,71
North Carolina,61
North Dakota,0
Ohio,70
Oklahoma,66
Oregon,60
Pennsylvania,71
Rhode Island,68
South Carolina,49
South Dakota,0
Tennessee,57
Texas,67
Utah,57
Vermont,0
Virginia,70
Washington,51
West Virginia,100
Wisconsin,56
Wyoming,0
