geoName,glaucoma
Alabama,53
Alaska,45
Arizona,52
Arkansas,68
California,59
Colorado,57
Connecticut,57
Delaware,45
District of Columbia,63
Florida,70
Georgia,60
Hawaii,86
Idaho,51
Illinois,59
Indiana,52
Iowa,81
Kansas,55
Kentucky,54
Louisiana,55
Maine,74
Maryland,69
Massachusetts,66
Michigan,60
Minnesota,65
Mississippi,48
Missouri,71
Montana,45
Nebraska,85
Nevada,66
New Hampshire,42
New Jersey,54
New Mexico,65
New York,62
North Carolina,51
North Dakota,38
Ohio,61
Oklahoma,45
Oregon,58
Pennsylvania,67
Rhode Island,46
South Carolina,55
South Dakota,55
Tennessee,68
Texas,58
Utah,40
Vermont,69
Virginia,59
Washington,62
West Virginia,100
Wisconsin,56
Wyoming,71
