geoName,cataract
Alabama,78
Alaska,71
Arizona,72
Arkansas,69
California,52
Colorado,61
Connecticut,67
Delaware,65
District of Columbia,53
Florida,68
Georgia,59
Hawaii,73
Idaho,62
Illinois,62
Indiana,100
Iowa,77
Kansas,68
Kentucky,72
Louisiana,72
Maine,83
Maryland,65
Massachusetts,62
Michigan,66
Minnesota,64
Mississippi,71
Missouri,71
Montana,79
Nebraska,65
Nevada,68
New Hampshire,85
New Jersey,71
New Mexico,83
New York,59
North Carolina,61
North Dakota,76
Ohio,66
Oklahoma,70
Oregon,74
Pennsylvania,72
Rhode Island,56
South Carolina,75
South Dakota,71
Tennessee,78
Texas,52
Utah,64
Vermont,80
Virginia,63
Washington,70
West Virginia,89
Wisconsin,72
Wyoming,80
