geoName,cataract
Alabama,60
Alaska,71
Arizona,73
Arkansas,65
California,65
Colorado,66
Connecticut,70
Delaware,74
District of Columbia,49
Florida,73
Georgia,50
Hawaii,64
Idaho,70
Illinois,52
Indiana,100
Iowa,60
Kansas,61
Kentucky,64
Louisiana,61
Maine,71
Maryland,53
Massachusetts,57
Michigan,60
Minnesota,60
Mississippi,58
Missouri,63
Montana,74
Nebraska,54
Nevada,56
New Hampshire,62
New Jersey,57
New Mexico,62
New York,76
North Carolina,58
North Dakota,68
Ohio,54
Oklahoma,62
Oregon,63
Pennsylvania,61
Rhode Island,67
South Carolina,60
South Dakota,60
Tennessee,66
Texas,58
Utah,58
Vermont,60
Virginia,56
Washington,64
West Virginia,73
Wisconsin,63
Wyoming,42
