geoName,cataract
Alabama,62
Alaska,41
Arizona,57
Arkansas,44
California,33
Colorado,57
Connecticut,46
Delaware,36
District of Columbia,48
Florida,54
Georgia,40
Hawaii,45
Idaho,41
Illinois,53
Indiana,67
Iowa,45
Kansas,55
Kentucky,57
Louisiana,57
Maine,52
Maryland,47
Massachusetts,45
Michigan,48
Minnesota,59
Mississippi,54
Missouri,59
Montana,100
Nebraska,43
Nevada,43
New Hampshire,34
New Jersey,43
New Mexico,79
New York,49
North Carolina,50
North Dakota,17
Ohio,51
Oklahoma,54
Oregon,63
Pennsylvania,55
Rhode Island,43
South Carolina,64
South Dakota,45
Tennessee,53
Texas,43
Utah,47
Vermont,34
Virginia,22
Washington,64
West Virginia,68
Wisconsin,52
Wyoming,47
