geoName,glaucoma
Alabama,73
Alaska,71
Arizona,78
Arkansas,82
California,85
Colorado,58
Connecticut,82
Delaware,70
District of Columbia,72
Florida,98
Georgia,69
Hawaii,90
Idaho,64
Illinois,68
Indiana,72
Iowa,63
Kansas,70
Kentucky,72
Louisiana,76
Maine,78
Maryland,88
Massachusetts,78
Michigan,71
Minnesota,72
Mississippi,74
Missouri,71
Montana,62
Nebraska,65
Nevada,68
New Hampshire,80
New Jersey,79
New Mexico,78
New York,99
North Carolina,68
North Dakota,76
Ohio,70
Oklahoma,70
Oregon,75
Pennsylvania,76
Rhode Island,100
South Carolina,73
South Dakota,79
Tennessee,68
Texas,88
Utah,60
Vermont,67
Virginia,74
Washington,70
West Virginia,95
Wisconsin,62
Wyoming,74
