geoName,glaucoma
Alabama,87
Alaska,68
Arizona,75
Arkansas,78
California,57
Colorado,66
Connecticut,79
Delaware,56
District of Columbia,68
Florida,78
Georgia,65
Hawaii,73
Idaho,85
Illinois,75
Indiana,82
Iowa,63
Kansas,79
Kentucky,77
Louisiana,82
Maine,87
Maryland,82
Massachusetts,80
Michigan,75
Minnesota,79
Mississippi,69
Missouri,83
Montana,75
Nebraska,87
Nevada,66
New Hampshire,86
New Jersey,70
New Mexico,100
New York,70
North Carolina,84
North Dakota,74
Ohio,74
Oklahoma,68
Oregon,78
Pennsylvania,89
Rhode Island,51
South Carolina,68
South Dakota,79
Tennessee,72
Texas,70
Utah,51
Vermont,71
Virginia,57
Washington,67
West Virginia,81
Wisconsin,81
Wyoming,71
