geoName,diabetic retinopathy
Alabama,85
Alaska,0
Arizona,58
Arkansas,76
California,57
Colorado,37
Connecticut,68
Delaware,0
District of Columbia,0
Florida,59
Georgia,56
Hawaii,0
Idaho,0
Illinois,65
Indiana,61
Iowa,45
Kansas,59
Kentucky,61
Louisiana,56
Maine,0
Maryland,57
Massachusetts,69
Michigan,64
Minnesota,100
Mississippi,84
Missouri,66
Montana,0
Nebraska,46
Nevada,63
New Hampshire,53
New Jersey,58
New Mexico,58
New York,73
North Carolina,64
North Dakota,0
Ohio,47
Oklahoma,63
Oregon,51
Pennsylvania,64
Rhode Island,52
South Carolina,61
South Dakota,0
Tennessee,74
Texas,66
Utah,45
Vermont,0
Virginia,62
Washington,61
West Virginia,58
Wisconsin,52
Wyoming,0
