geoName,macular degeneration
Alabama,61
Alaska,67
Arizona,71
Arkansas,60
California,49
Colorado,71
Connecticut,67
Delaware,78
District of Columbia,49
Florida,64
Georgia,49
Hawaii,61
Idaho,85
Illinois,62
Indiana,65
Iowa,64
Kansas,56
Kentucky,71
Louisiana,55
Maine,76
Maryland,63
Massachusetts,63
Michigan,62
Minnesota,77
Mississippi,60
Missouri,66
Montana,77
Nebraska,79
Nevada,53
New Hampshire,75
New Jersey,56
New Mexico,75
New York,71
North Carolina,60
North Dakota,81
Ohio,68
Oklahoma,61
Oregon,66
Pennsylvania,70
Rhode Island,63
South Carolina,54
South Dakota,100
Tennessee,59
Texas,48
Utah,52
Vermont,67
Virginia,62
Washington,62
West Virginia,67
Wisconsin,65
Wyoming,69
