geoName,uveitis
Alabama,49
Alaska,0
Arizona,72
Arkansas,70
California,56
Colorado,72
Connecticut,85
Delaware,78
District of Columbia,75
Florida,66
Georgia,64
Hawaii,59
Idaho,74
Illinois,76
Indiana,74
Iowa,70
Kansas,65
Kentucky,85
Louisiana,68
Maine,95
Maryland,80
Massachusetts,86
Michigan,79
Minnesota,79
Mississippi,65
Missouri,82
Montana,61
Nebraska,28
Nevada,42
New Hampshire,72
New Jersey,77
New Mexico,63
New York,66
North Carolina,75
North Dakota,0
Ohio,75
Oklahoma,58
Oregon,66
Pennsylvania,86
Rhode Island,85
South Carolina,57
South Dakota,78
Tennessee,71
Texas,62
Utah,61
Vermont,100
Virginia,75
Washington,66
West Virginia,94
Wisconsin,77
Wyoming,0
