geoName,cataract
Alabama,35
Alaska,64
Arizona,42
Arkansas,51
California,47
Colorado,54
Connecticut,38
Delaware,26
District of Columbia,39
Florida,55
Georgia,54
Hawaii,31
Idaho,26
Illinois,44
Indiana,59
Iowa,47
Kansas,79
Kentucky,34
Louisiana,23
Maine,92
Maryland,54
Massachusetts,54
Michigan,41
Minnesota,47
Mississippi,64
Missouri,58
Montana,100
Nebraska,62
Nevada,24
New Hampshire,17
New Jersey,51
New Mexico,64
New York,51
North Carolina,48
North Dakota,69
Ohio,50
Oklahoma,43
Oregon,49
Pennsylvania,54
Rhode Island,24
South Carolina,36
South Dakota,45
Tennessee,63
Texas,49
Utah,71
Vermont,84
Virginia,39
Washington,62
West Virginia,79
Wisconsin,59
Wyoming,38
