geoName,macular degeneration
Alabama,34
Alaska,40
Arizona,55
Arkansas,41
California,32
Colorado,50
Connecticut,52
Delaware,39
District of Columbia,46
Florida,48
Georgia,38
Hawaii,29
Idaho,46
Illinois,52
Indiana,63
Iowa,45
Kansas,61
Kentucky,60
Louisiana,46
Maine,72
Maryland,46
Massachusetts,48
Michigan,55
Minnesota,58
Mississippi,61
Missouri,63
Montana,73
Nebraska,59
Nevada,44
New Hampshire,38
New Jersey,38
New Mexico,48
New York,40
North Carolina,44
North Dakota,100
Ohio,46
Oklahoma,58
Oregon,61
Pennsylvania,54
Rhode Island,46
South Carolina,28
South Dakota,51
Tennessee,48
Texas,44
Utah,39
Vermont,54
Virginia,27
Washington,46
West Virginia,87
Wisconsin,55
Wyoming,47
