geoName,cataract
Alabama,57
Alaska,66
Arizona,65
Arkansas,47
California,60
Colorado,60
Connecticut,65
Delaware,62
District of Columbia,41
Florida,60
Georgia,49
Hawaii,63
Idaho,60
Illinois,48
Indiana,100
Iowa,56
Kansas,54
Kentucky,65
Louisiana,50
Maine,58
Maryland,53
Massachusetts,52
Michigan,51
Minnesota,58
Mississippi,55
Missouri,56
Montana,88
Nebraska,52
Nevada,51
New Hampshire,56
New Jersey,56
New Mexico,63
New York,64
North Carolina,52
North Dakota,39
Ohio,53
Oklahoma,59
Oregon,51
Pennsylvania,59
Rhode Island,62
South Carolina,59
South Dakota,69
Tennessee,59
Texas,47
Utah,52
Vermont,59
Virginia,51
Washington,58
West Virginia,72
Wisconsin,59
Wyoming,52
