geoName,diabetic retinopathy
Alabama,63
Alaska,0
Arizona,71
Arkansas,88
California,63
Colorado,60
Connecticut,83
Delaware,0
District of Columbia,0
Florida,70
Georgia,57
Hawaii,0
Idaho,0
Illinois,67
Indiana,81
Iowa,80
Kansas,59
Kentucky,70
Louisiana,68
Maine,0
Maryland,100
Massachusetts,69
Michigan,71
Minnesota,55
Mississippi,49
Missouri,75
Montana,0
Nebraska,70
Nevada,64
New Hampshire,61
New Jersey,67
New Mexico,46
New York,61
North Carolina,55
North Dakota,0
Ohio,73
Oklahoma,65
Oregon,48
Pennsylvania,82
Rhode Island,44
South Carolina,58
South Dakota,0
Tennessee,77
Texas,58
Utah,63
Vermont,0
Virginia,34
Washington,64
West Virginia,90
Wisconsin,78
Wyoming,0
