geoName,glaucoma
Alabama,73
Alaska,71
Arizona,85
Arkansas,84
California,88
Colorado,58
Connecticut,77
Delaware,91
District of Columbia,82
Florida,100
Georgia,65
Hawaii,87
Idaho,62
Illinois,67
Indiana,67
Iowa,70
Kansas,71
Kentucky,75
Louisiana,80
Maine,89
Maryland,92
Massachusetts,78
Michigan,74
Minnesota,90
Mississippi,85
Missouri,77
Montana,60
Nebraska,75
Nevada,79
New Hampshire,81
New Jersey,77
New Mexico,70
New York,98
North Carolina,73
North Dakota,65
Ohio,66
Oklahoma,79
Oregon,64
Pennsylvania,79
Rhode Island,72
South Carolina,74
South Dakota,89
Tennessee,71
Texas,90
Utah,62
Vermont,64
Virginia,75
Washington,73
West Virginia,94
Wisconsin,74
Wyoming,63
