geoName,macular degeneration
Alabama,50
Alaska,54
Arizona,50
Arkansas,52
California,40
Colorado,48
Connecticut,42
Delaware,75
District of Columbia,51
Florida,43
Georgia,38
Hawaii,44
Idaho,40
Illinois,44
Indiana,74
Iowa,88
Kansas,48
Kentucky,40
Louisiana,28
Maine,46
Maryland,59
Massachusetts,44
Michigan,47
Minnesota,42
Mississippi,33
Missouri,40
Montana,62
Nebraska,73
Nevada,28
New Hampshire,36
New Jersey,40
New Mexico,58
New York,38
North Carolina,37
North Dakota,63
Ohio,46
Oklahoma,54
Oregon,38
Pennsylvania,48
Rhode Island,53
South Carolina,35
South Dakota,60
Tennessee,32
Texas,45
Utah,39
Vermont,89
Virginia,31
Washington,35
West Virginia,100
Wisconsin,54
Wyoming,0
