geoName,uveitis
Alabama,50
Alaska,0
Arizona,45
Arkansas,60
California,40
Colorado,45
Connecticut,54
Delaware,48
District of Columbia,66
Florida,45
Georgia,39
Hawaii,40
Idaho,45
Illinois,50
Indiana,44
Iowa,32
Kansas,55
Kentucky,40
Louisiana,38
Maine,100
Maryland,59
Massachusetts,75
Michigan,48
Minnesota,54
Mississippi,54
Missouri,53
Montana,53
Nebraska,43
Nevada,44
New Hampshire,42
New Jersey,51
New Mexico,27
New York,50
North Carolina,51
North Dakota,0
Ohio,49
Oklahoma,46
Oregon,62
Pennsylvania,63
Rhode Island,47
South Carolina,43
South Dakota,61
Tennessee,57
Texas,38
Utah,36
Vermont,85
Virginia,48
Washington,54
West Virginia,59
Wisconsin,45
Wyoming,0
