geoName,diabetic retinopathy
Alabama,66
Alaska,0
Arizona,67
Arkansas,52
California,63
Colorado,32
Connecticut,71
Delaware,0
District of Columbia,0
Florida,72
Georgia,46
Hawaii,0
Idaho,0
Illinois,66
Indiana,63
Iowa,82
Kansas,57
Kentucky,73
Louisiana,73
Maine,0
Maryland,76
Massachusetts,57
Michigan,77
Minnesota,35
Mississippi,40
Missouri,66
Montana,0
Nebraska,100
Nevada,49
New Hampshire,41
New Jersey,52
New Mexico,94
New York,62
North Carolina,50
North Dakota,0
Ohio,66
Oklahoma,73
Oregon,41
Pennsylvania,57
Rhode Island,68
South Carolina,47
South Dakota,0
Tennessee,86
Texas,58
Utah,57
Vermont,0
Virginia,40
Washington,56
West Virginia,94
Wisconsin,43
Wyoming,0
