geoName,macular degeneration
Alabama,70
Alaska,70
Arizona,69
Arkansas,80
California,48
Colorado,66
Connecticut,73
Delaware,60
District of Columbia,43
Florida,65
Georgia,49
Hawaii,60
Idaho,70
Illinois,61
Indiana,69
Iowa,83
Kansas,75
Kentucky,70
Louisiana,56
Maine,81
Maryland,62
Massachusetts,70
Michigan,66
Minnesota,71
Mississippi,63
Missouri,64
Montana,84
Nebraska,71
Nevada,61
New Hampshire,76
New Jersey,61
New Mexico,71
New York,62
North Carolina,66
North Dakota,96
Ohio,64
Oklahoma,74
Oregon,80
Pennsylvania,82
Rhode Island,52
South Carolina,60
South Dakota,100
Tennessee,67
Texas,52
Utah,76
Vermont,88
Virginia,64
Washington,62
West Virginia,74
Wisconsin,71
Wyoming,89
